top - 00:08:40 up  5:36,  1 user,  load average: 0.02, 0.04, 0.05
Tasks: 315 total,   1 running, 313 sleeping,   0 stopped,   1 zombie
%Cpu(s):  4.0 us,  4.0 sy,  0.0 ni, 88.0 id,  4.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.8 total,    531.4 free,   1368.5 used,   2274.1 buff/cache     
MiB Swap:   3719.0 total,   3467.1 free,    251.9 used.   2499.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2438 spongeb+  20   0  459716   7364   6564 S   0.0   0.2   0:00.23 gvfsd-f+
   2441 spongeb+  20   0  799028  14996  13712 S   0.0   0.4   0:00.28 gnome-s+
   2479 spongeb+  20   0 3909636 183908  70020 S   0.0   4.6   5:01.60 gnome-s+
   2480 spongeb+  20   0  382944   7828   7228 S   0.0   0.2   0:00.07 at-spi-+
   2493 spongeb+  20   0    9620   4760   4368 S   0.0   0.1   0:00.05 dbus-da+
   2542 spongeb+  20   0  236076   7516   6832 S   0.0   0.2   0:00.07 at-spi2+
   2565 spongeb+  20   0  655936  17040  15980 S   0.0   0.4   0:00.60 gnome-s+
   2578 spongeb+  20   0 1275288  24336  17404 S   0.0   0.6   0:00.66 evoluti+
   2583 spongeb+  20   0 2932960  19164  16368 S   0.0   0.5   0:00.43 gjs
   2590 spongeb+  20   0  462580   9264   7032 S   0.0   0.2   0:14.66 ibus-da+
   2591 spongeb+  20   0  383524   6552   6072 S   0.0   0.2   0:00.41 gsd-a11+
   2592 spongeb+  20   0  412988  13728  12112 S   0.0   0.3   0:00.48 gsd-col+
   2594 spongeb+  20   0  431676  11104  10048 S   0.0   0.3   0:00.26 gsd-dat+
   2595 spongeb+  20   0  459004   7660   7000 S   0.0   0.2   0:00.57 gsd-hou+
   2598 spongeb+  20   0  411840  13620  12052 S   0.0   0.3   0:00.45 gsd-key+
   2600 spongeb+  20   0  659668  19328  16576 S   0.0   0.5   0:00.34 gsd-med+
   2601 spongeb+  20   0  597336  17524  15084 S   0.0   0.4   0:00.55 gsd-pow+
   2603 spongeb+  20   0  323764   9564   8728 S   0.0   0.2   0:00.13 gsd-pri+
   2604 spongeb+  20   0  531092   6620   5972 S   0.0   0.2   0:00.26 gsd-rfk+
   2608 spongeb+  20   0  309568   6416   5944 S   0.0   0.2   0:00.25 gsd-scr+
   2609 spongeb+  20   0  543196   9296   8228 S   0.0   0.2   0:00.23 gsd-sha+
   2611 spongeb+  20   0  385824   7108   6368 S   0.0   0.2   0:00.37 gsd-sma+
   2615 spongeb+  20   0  393640   8528   7844 S   0.0   0.2   0:00.16 gsd-sou+
   2616 spongeb+  20   0  412676  14160  12080 S   0.0   0.4   0:00.76 gsd-wac+
   2626 spongeb+  20   0  245876  10760   9748 S   0.0   0.3   0:00.71 Xwayland
   2638 spongeb+  20   0  216472  25128  19692 S   0.0   0.6   0:23.48 vmtoolsd
   2645 spongeb+  20   0  826292  39708  28316 S   0.0   1.0   0:01.96 evoluti+
   2674 spongeb+  20   0  305632   7160   6140 S   0.0   0.2   0:00.24 gsd-dis+
   2793 spongeb+  20   0  463048  10172   8656 S   0.0   0.3   0:00.82 gvfs-ud+
   2801 spongeb+  20   0  310468   6816   6572 S   0.0   0.2   0:00.53 ibus-dc+
   2803 spongeb+  20   0  421528  23104  12884 S   0.0   0.6   0:04.09 ibus-ex+
   2806 spongeb+  20   0  310432   6816   6528 S   0.0   0.2   0:00.17 ibus-po+
   2824 spongeb+  20   0  416244  12024  10220 S   0.0   0.3   0:00.04 gsd-pri+
   2863 spongeb+  20   0  309800   6328   5776 S   0.0   0.2   0:00.23 gvfs-mt+
   2879 spongeb+  20   0  310768   6468   5748 S   0.0   0.2   0:00.36 gvfs-gp+
   2896 spongeb+  20   0  309780   6456   5856 S   0.0   0.2   0:00.27 gvfs-go+
   2900 spongeb+  20   0  546672  14776  14468 S   0.0   0.4   0:00.23 goa-dae+
   2911 spongeb+  20   0  389132   7788   7484 S   0.0   0.2   0:00.31 goa-ide+
   2916 spongeb+  20   0  389388   7628   6752 S   0.0   0.2   0:01.15 gvfs-af+
   2920 spongeb+  20   0 1169284  20464  16912 S   0.0   0.5   0:01.28 evoluti+
   2939 spongeb+  20   0  825456  24604  20496 S   0.0   0.6   0:00.56 evoluti+
   2969 spongeb+  20   0  236776   7716   6832 S   0.0   0.2   0:04.97 ibus-en+
   2997 spongeb+  20   0  230224   5968   5356 S   0.0   0.2   0:00.20 dconf-s+
   3007 spongeb+  20   0  236312   6408   5948 S   0.0   0.2   0:00.80 gvfsd-m+
   3008 spongeb+  20   0  609576   8676   7200 S   0.0   0.2   0:01.26 gvfsd-t+
   3105 spongeb+  39  19  883004  23132  16068 S   0.0   0.6   0:01.53 tracker+
   3120 spongeb+  20   0  642276  30544  17732 S   0.0   0.8   0:00.52 gsd-xse+
   3123 spongeb+  20   0 2859284  19416  16724 S   0.0   0.5   0:01.19 gjs
   3139 spongeb+  20   0  832796  12072  10268 S   0.0   0.3   0:01.27 xdg-des+
   3145 spongeb+  20   0 1443256 111472  82348 S   0.0   2.8   0:05.05 xdg-des+
   3230 spongeb+  20   0  417764  19396  14020 S   0.0   0.5   0:00.40 xdg-des+
   3237 spongeb+  20   0  267148  13984  12748 S   0.0   0.4   0:00.15 ibus-x11
   3243 spongeb+  20   0 1119668  18552  17280 S   0.0   0.5   0:00.39 mutter-+
   3397 spongeb+  20   0  495564  26036  21624 S   0.0   0.7   0:01.06 update-+
   4231 root       0 -20       0      0      0 I   0.0   0.0   0:00.61 kworker+
   4753 spongeb+  20   0   39140   6836   6832 S   0.0   0.2   0:00.15 snapd-d+
   4900 spongeb+  20   0 1003096 127988  76832 S   0.0   3.2   0:05.26 snapd-d+
  11428 root      19  -1   50828  16696  16136 S   0.0   0.4   0:00.95 systemd+
  12099 systemd+  20   0   91060   6716   6312 S   0.0   0.2   0:00.13 systemd+
  12249 root      20   0   30696   8052   4956 S   0.0   0.2   0:00.22 systemd+
  12251 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
  12404 systemd+  20   0   17572   6396   6056 S   0.0   0.2   0:05.13 systemd+
  13209 systemd+  20   0   22368  11128   9528 S   0.0   0.3   0:01.26 systemd+
  13724 root      20   0 1923476  34484  19724 S   0.0   0.9   0:09.76 snapd
  14897 root      20   0  623216  15496  13924 S   0.0   0.4   0:01.13 Network+
  15693 gnome-r+  20   0  512820  12948  11572 S   0.0   0.3   0:00.01 gnome-r+
  20318 spongeb+  20   0 1765748  11824   6208 S   0.0   0.3   0:00.62 snap
  21397 spongeb+  20   0  119900   7052   5088 S   0.0   0.2   0:00.29 speech-+
  21415 spongeb+  20   0       0      0      0 Z   0.0   0.0   0:00.03 sd_espe+
  21418 spongeb+  20   0  107388   7936   6208 S   0.0   0.2   0:00.00 sd_espe+
  21421 spongeb+  20   0  162700   5808   5448 S   0.0   0.1   0:01.69 sd_dummy
  21424 spongeb+  20   0    5676   2628   2524 S   0.0   0.1   0:00.00 sd_open+
  21627 root      20   0  606184  40744  34440 S   0.0   1.0   0:03.95 fwupd
  25175 spongeb+  20   0  388236   8752   7672 S   0.0   0.2   0:00.73 gvfsd-r+
  25348 spongeb+  20   0  462200   8868   7720 S   0.0   0.2   0:00.19 gvfsd-n+
  25357 spongeb+  20   0  390556   9112   7988 S   0.0   0.2   0:00.28 gvfsd-d+
  37476 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  38019 root      20   0   17392   5944   5068 S   0.0   0.2   0:00.05 wpa_sup+
  38381 syslog    20   0  222572   5644   4688 S   0.0   0.1   0:00.06 rsyslogd
  43023 root      20   0    6816   5500   4172 S   0.0   0.1   0:00.53 apache2
  43228 www-data  20   0    3628   1480   1300 S   0.0   0.0   0:00.42 htcache+
  43991 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
  45645 root      20   0       0      0      0 I   0.0   0.0   0:00.55 kworker+
  45681 root      20   0       0      0      0 I   0.0   0.0   0:01.78 kworker+
  46045 systemd+  20   0   19016   9292   8132 S   0.0   0.2   0:00.09 systemd+
  46053 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  46471 root       0 -20       0      0      0 I   0.0   0.0   0:00.45 kworker+
  46598 root       0 -20       0      0      0 I   0.0   0.0   0:00.10 kworker+
  46727 spongeb+  20   0 3213700  65116  49852 S   0.0   1.6   0:00.85 gjs
  47101 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker+
  47138 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
  47142 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  47159 spongeb+  20   0  702348  61012  48264 S   0.0   1.5   0:06.19 gnome-t+
  47166 spongeb+  20   0   11272   5616   3980 S   0.0   0.1   0:00.00 bash
  47175 root      20   0    8740   2700   2528 S   0.0   0.1   0:00.00 newgrp
  47176 spongeb+  20   0   11272   5636   3996 S   0.0   0.1   0:00.03 bash
  47197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  47198 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  47201 root      20   0       0      0      0 I   0.0   0.0   0:00.28 kworker+
  47211 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  47233 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
  47249 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  47296 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
  47297 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  47313 www-data  20   0 1213080   5868   4068 S   0.0   0.1   0:00.00 apache2
  47315 www-data  20   0 1213080   5868   4068 S   0.0   0.1   0:00.00 apache2
  47378 root      20   0   38404  12492  10280 S   0.0   0.3   0:00.01 cupsd
  47379 root      20   0       0      0      0 I   0.0   0.0   0:00.27 kworker+
  47382 cups-br+  20   0  268504  20508  17440 S   0.0   0.5   0:00.01 cups-br+
  47449 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
  47769 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
  47914 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
  48012 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  48249 root      20   0  375216  21380  18380 S   0.0   0.5   0:00.02 package+
